numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
8,lawyer_8.png,a,g,t,1,2,10,6,a,1,0.2843360212,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
7,lawyer_7.png,g,a,t,4,5,37,5,g,1,0.3175826259,38,f,21,d,60.00791881,SNARC lie 2,2019_May_16_1737
9,lawyer_9.png,g,a,t,0,5,5,7,g,1,0.3176449414,7,f,24,d,60.00171555,SNARC lie 1,2019_Apr_10_1010
3,lawyer_3.png,g,a,t,1,1,9,2,a,1,0.3176530057,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
1,lawyer_1.png,g,a,t,4,7,39,0,a,1,0.3176684012,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
8,lawyer_8.png,a,g,t,2,3,19,6,g,1,0.3177706713,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
1,lawyer_1.png,g,a,t,3,5,29,0,a,1,0.3337332499,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
9,lawyer_9.png,g,a,t,4,2,34,7,a,1,0.3337482791,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
7,lawyer_7.png,g,a,t,1,2,10,5,a,1,0.3342273725,9,m,27,d,60.0087107,SNARC lie 1,2019_Apr_10_1212
6,lawyer_6.png,a,g,t,0,4,4,4,g,1,0.3343050834,35,m,21,d,60.01808426,SNARC lie 1,2019_May_16_1301
8,lawyer_8.png,a,g,t,1,2,10,6,g,1,0.3343083826,27,f,24,d,60.02257397,SNARC lie 1,2019_Apr_29_1114
2,lawyer_2.png,a,g,t,1,3,11,1,a,1,0.3343380739,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
7,lawyer_7.png,g,a,t,4,1,33,5,a,1,0.3343399065,23,f,24,d,60.01161484,SNARC lie 1,2019_Apr_18_1730
2,lawyer_2.png,a,g,t,2,4,20,1,g,1,0.3343406399,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
8,lawyer_8.png,a,g,t,2,2,18,6,g,1,0.3343432057,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
1,lawyer_1.png,g,a,t,0,4,4,0,a,1,0.334345038,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
8,lawyer_8.png,a,g,t,1,4,12,6,g,1,0.3343494367,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
8,lawyer_8.png,a,g,t,0,2,2,6,g,1,0.3343597007,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
8,lawyer_8.png,a,g,t,4,6,38,6,g,1,0.3343648324,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
7,lawyer_7.png,g,a,t,2,1,17,5,g,1,0.3344205496,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
2,lawyer_2.png,a,g,t,0,5,5,1,g,1,0.3502438357,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
7,lawyer_7.png,g,a,t,1,3,11,5,g,1,0.3504304144,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
7,lawyer_7.png,g,a,t,3,1,25,5,a,1,0.3504509418,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
8,lawyer_8.png,a,g,t,2,5,21,6,g,1,0.350945431,23,f,24,d,60.01161484,SNARC lie 1,2019_Apr_18_1730
8,lawyer_8.png,a,g,t,1,0,8,6,g,1,0.3509479966,36,f,20,d,60.02508316,SNARC lie 2,2019_May_16_1508
