numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
3,lawyer_3.png,g,a,t,0,3,3,10,g,1,0.001436914317,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
4,lawyer_4.png,a,g,t,4,3,99,11,a,1,0.01774039352,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,lawyer_6.png,a,g,t,1,14,38,12,a,1,0.01777631626,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,cop_8.png,g,a,l,2,10,58,22,g,1,0.0179060786,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
7,lawyer_7.png,g,a,t,3,4,76,5,g,1,0.05101595726,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
4,lawyer_4.png,a,g,t,0,14,14,11,a,1,0.05105224648,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,cop_6.png,g,a,l,4,14,110,20,g,1,0.05106947478,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,lawyer_6.png,a,g,t,3,3,75,4,a,1,0.084318646,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,lawyer_3.png,g,a,t,4,8,104,10,g,1,0.08488571411,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
1,cop_1.png,a,g,l,1,12,36,16,a,1,0.1010759261,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
4,cop_4.png,g,a,l,1,3,27,19,g,1,0.1011272445,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
2,lawyer_2.png,a,g,t,0,5,5,1,a,1,0.1176096052,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
2,lawyer_2.png,a,g,t,1,10,34,1,a,1,0.1177624606,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,cop_8.png,g,a,l,0,19,19,22,g,1,0.117781155,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
1,lawyer_1.png,g,a,t,4,2,98,0,g,1,0.134358821,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,lawyer_6.png,a,g,t,4,6,102,12,g,1,0.1676604101,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
2,lawyer_2.png,a,g,t,4,14,110,1,a,1,0.1676626096,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,cop_8.png,g,a,l,3,1,73,22,a,1,0.1676736064,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
9,lawyer_9.png,g,a,t,4,5,101,7,g,1,0.1677601144,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,cop_8.png,g,a,l,2,15,63,22,a,1,0.1678022686,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,cop_3.png,a,g,l,1,12,36,18,g,1,0.1681109122,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,lawyer_3.png,g,a,t,4,9,105,2,g,1,0.1843498771,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
4,lawyer_4.png,a,g,t,4,7,103,3,a,1,0.184359774,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
9,lawyer_9.png,g,a,t,2,21,69,15,a,1,0.1844598448,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,cop_3.png,a,g,l,4,18,114,18,a,1,0.2010155171,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
9,lawyer_9.png,g,a,t,4,3,99,15,g,1,0.2010657359,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
2,cop_2.png,g,a,l,2,3,51,17,g,1,0.2010661024,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
2,lawyer_2.png,a,g,t,0,7,7,9,a,1,0.2010880962,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,lawyer_3.png,g,a,t,4,5,101,10,g,1,0.2011001925,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
9,cop_9.png,a,g,l,3,16,88,23,a,1,0.2011232858,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
1,lawyer_1.png,g,a,t,2,15,63,8,g,1,0.2011357488,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,lawyer_3.png,g,a,t,1,15,39,2,a,1,0.2014975434,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,lawyer_6.png,a,g,t,0,18,18,4,a,1,0.2169652663,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,lawyer_3.png,g,a,t,0,11,11,2,g,1,0.2176166431,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,lawyer_8.png,a,g,t,4,16,112,6,a,1,0.2176573309,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,lawyer_3.png,g,a,t,2,19,67,2,g,1,0.2176738263,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
1,lawyer_1.png,g,a,t,1,8,32,0,g,1,0.2176811576,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
4,cop_4.png,g,a,l,3,10,82,19,a,1,0.2176899551,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
1,cop_1.png,a,g,l,4,9,105,16,a,1,0.2177053504,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,cop_6.png,g,a,l,3,20,92,20,a,1,0.2177881929,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
1,cop_1.png,a,g,l,2,18,66,16,a,1,0.2343695245,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
4,lawyer_4.png,a,g,t,1,21,45,3,g,1,0.2348647469,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,cop_8.png,g,a,l,1,19,43,22,g,1,0.2509820138,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
9,lawyer_9.png,g,a,t,0,16,16,7,g,1,0.2510098722,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,lawyer_6.png,a,g,t,2,23,71,12,g,1,0.2515032617,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
1,lawyer_1.png,g,a,t,3,7,79,0,a,1,0.2676135639,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,lawyer_3.png,g,a,t,3,0,72,10,g,1,0.2676791782,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,cop_3.png,a,g,l,1,1,25,18,a,1,0.2677187666,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,cop_6.png,g,a,l,1,2,26,20,g,1,0.2677249981,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
9,lawyer_9.png,g,a,t,2,17,65,7,g,1,0.26774076,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,lawyer_8.png,a,g,t,3,2,74,6,a,1,0.2844327926,38,f,21,d,60.00791881,SNARC lie 2,2019_May_16_1737
2,cop_2.png,g,a,l,4,11,107,17,a,1,0.3010166902,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
7,lawyer_7.png,g,a,t,3,12,84,13,a,1,0.3010221885,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,cop_3.png,a,g,l,0,4,4,18,a,1,0.3010621436,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
7,lawyer_7.png,g,a,t,1,0,24,5,g,1,0.3011981372,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
1,lawyer_1.png,g,a,t,2,21,69,0,g,1,0.3176570379,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
7,lawyer_7.png,g,a,t,4,21,117,5,g,1,0.3176815973,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
2,lawyer_2.png,a,g,t,2,21,69,1,a,1,0.3176830634,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
9,lawyer_9.png,g,a,t,4,19,115,7,g,1,0.3176834303,10,f,21,d,60.01095477,SNARC lie 2,2019_Apr_10_1300
1,cop_1.png,a,g,l,3,17,89,16,g,1,0.3177068899,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,cop_6.png,g,a,l,3,22,94,20,g,1,0.3177101891,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
7,lawyer_7.png,g,a,t,4,20,116,5,g,1,0.317736215,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
2,lawyer_2.png,a,g,t,3,5,77,1,g,1,0.3177505105,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
7,cop_7.png,a,g,l,3,5,77,21,a,1,0.3343182795,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
7,lawyer_7.png,g,a,t,0,13,13,5,g,1,0.3343410061,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
3,lawyer_3.png,g,a,t,0,11,11,10,g,1,0.3343461379,22,f,22,d,60.02178155,SNARC lie 2,2019_Apr_18_1558
6,lawyer_6.png,a,g,t,1,14,38,12,g,1,0.3343538358,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
3,lawyer_3.png,g,a,t,3,20,92,2,g,1,0.3345642411,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
4,lawyer_4.png,a,g,t,2,16,64,11,g,1,0.3348226659,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,lawyer_8.png,a,g,t,4,8,104,14,g,1,0.3502024142,17,f,26,d,60.03816113,SNARC lie 1,2019_Apr_18_1109
9,cop_9.png,a,g,l,4,1,97,23,a,1,0.3502973535,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
6,cop_6.png,g,a,l,3,4,76,20,a,1,0.3508853153,38,f,21,d,60.00791881,SNARC lie 2,2019_May_16_1737
7,lawyer_7.png,g,a,t,3,6,78,5,a,1,0.3509457975,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
2,lawyer_2.png,a,g,t,0,9,9,9,g,1,0.3509707237,27,f,24,d,60.02257397,SNARC lie 1,2019_Apr_29_1114
6,lawyer_6.png,a,g,t,4,2,98,4,g,1,0.350975489,21,f,20,d,60.02323421,SNARC lie 1,2019_Apr_18_1508
4,lawyer_4.png,a,g,t,1,11,35,11,a,1,0.3509850195,27,f,24,d,60.02257397,SNARC lie 1,2019_Apr_29_1114
1,lawyer_1.png,g,a,t,4,10,106,8,g,1,0.3509894181,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,lawyer_8.png,a,g,t,1,6,30,14,g,1,0.3509949166,38,f,21,d,60.00791881,SNARC lie 2,2019_May_16_1737
3,lawyer_3.png,g,a,t,1,10,34,2,g,1,0.3510139778,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
9,cop_9.png,a,g,l,4,8,104,23,g,1,0.351014711,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
4,lawyer_4.png,a,g,t,0,23,23,11,g,1,0.3510161773,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
2,lawyer_2.png,a,g,t,0,3,3,1,a,1,0.3510183766,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
8,lawyer_8.png,a,g,t,3,5,77,6,g,1,0.3510205757,7,f,24,d,60.00171555,SNARC lie 1,2019_Apr_10_1010
2,lawyer_2.png,a,g,t,1,22,46,1,g,1,0.3510403698,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
2,lawyer_2.png,a,g,t,3,22,94,9,a,1,0.3669384341,7,f,24,d,60.00171555,SNARC lie 1,2019_Apr_10_1010
8,cop_8.png,g,a,l,2,23,71,22,a,1,0.3675736822,38,f,21,d,60.00791881,SNARC lie 2,2019_May_16_1737
8,cop_8.png,g,a,l,3,3,75,22,a,1,0.3676260998,38,f,21,d,60.00791881,SNARC lie 2,2019_May_16_1737
